,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
525,19586,335,99,192,139
526,16992,1211,10,1240,7
527,19945,120,163,302,108
528,16973,1023,15,78,175
529,20762,1367,62,1420,48
530,16318,304,111,277,120
531,22766,1642,7,1648,6
532,19825,463,76,637,54
533,16413,602,53,323,106
534,18108,200,140,48,193
535,20455,980,168,1400,54
536,14899,439,78,639,40
537,17381,579,51,320,103
538,22199,1570,17,1533,24
539,22248,1380,60,1631,10
540,21284,1561,16,1615,8
541,18989,799,29,134,168
542,16736,87,165,147,146
543,21496,1069,147,1131,126
544,15434,321,107,763,26
545,15923,623,41,592,49
546,19012,712,37,634,47
547,15023,691,35,890,18
548,19319,1137,11,311,111
549,14514,257,121,421,79
550,17625,278,114,156,150
551,21389,1305,80,868,202
552,20007,714,43,510,69
553,21846,969,174,885,195
554,22168,1408,54,1225,99
555,23881,1062,144,858,201
556,20978,1483,29,1412,52
557,21635,1522,23,982,169
558,19832,454,77,818,29
559,22644,1224,101,1047,151
560,16186,1219,3,660,41
561,17390,693,40,529,61
562,14925,429,79,720,33
563,18309,150,160,63,188
564,14898,260,129,559,57
565,17514,1031,17,363,94
566,14811,244,130,410,87
567,23127,1176,109,1240,96
568,16632,702,40,311,105
569,18599,115,174,150,163
570,19120,121,171,122,167
571,18375,372,90,298,113
572,17684,989,19,806,31
573,18312,63,188,193,150
574,18094,636,49,341,100
575,14575,114,162,182,141
576,15401,334,104,1022,11
577,23557,1643,13,1375,63
578,14508,182,139,349,100
579,23202,1260,88,1161,112
580,17124,570,45,832,27
581,19116,891,22,11,203
582,19413,408,86,335,99
583,21533,1359,66,1332,73
584,16651,575,53,831,24
585,19995,360,97,919,21
586,21828,1266,91,1466,39
587,15340,281,119,260,128
588,16230,314,108,364,98
589,20412,543,57,989,15
590,15977,570,53,945,16
591,19354,859,24,874,23
592,20891,1271,88,1236,99
593,23858,1446,48,1406,57
594,19899,1386,3,1210,7
595,17484,24,195,50,185
596,21335,1346,68,1336,71
597,23270,1233,95,1254,90
598,19212,629,49,587,57
599,23884,1653,11,1500,34
600,19706,716,38,737,35
601,17598,241,121,552,59
602,20268,284,114,311,106
603,18574,144,168,457,78
604,19986,210,142,352,100
605,16038,349,102,491,71
606,18372,370,91,279,123
607,19393,682,45,395,83
608,18660,1503,1,1293,5
609,22353,1207,101,1481,33
610,21608,1294,82,1212,102
611,23430,972,169,964,172
612,18072,679,43,586,54
613,16558,242,124,504,72
614,16046,1065,10,1286,3
615,16758,545,59,506,65
616,17567,188,142,646,49
617,23789,1211,98,1138,123
618,19575,1422,4,1511,3
619,14425,147,150,277,116
620,17999,754,32,537,63
621,22407,1409,57,1307,79
622,23627,1178,105,1176,106
623,21613,1339,69,1390,58
624,21382,1075,137,1201,107
625,16662,1031,15,907,20
626,15683,366,96,280,117
627,21204,1099,134,1734,2
628,20815,1277,87,1423,46
629,19846,558,64,659,51
630,23776,1259,91,978,168
631,22404,1124,127,1341,71
632,17874,502,68,495,69
633,19540,491,70,331,100
634,21045,1327,73,1404,54
635,16092,471,75,351,101
636,22632,967,171,1457,41
637,14400,615,44,463,69
638,15594,107,172,89,176
639,18839,259,132,273,129
640,19078,411,86,551,63
641,15298,597,49,1437,2
642,20175,387,90,267,120
643,15038,480,73,343,98
644,22200,1725,3,1493,28
645,15786,555,56,110,163
646,17769,124,160,113,167
647,17885,235,127,141,162
648,18139,352,97,465,73
649,20488,920,186,912,190
650,20178,375,94,748,36
651,16549,457,81,455,82
652,16555,274,118,375,95
653,22843,954,175,1535,23
654,14841,133,159,262,124
655,17496,35,190,224,126
656,22256,1765,1,1610,13
657,17262,989,15,288,111
658,19027,588,52,503,66
659,21904,1441,45,969,174
660,16831,1160,8,665,42
661,19591,286,114,204,138
662,15236,15,199,662,37
663,19636,214,136,63,185
664,18049,328,105,962,17
665,22799,1129,127,1629,11
666,20224,82,183,31,197
667,23643,1262,89,1044,152
668,19894,818,29,917,23
669,21761,1463,39,1466,38
670,17658,1392,5,926,23
671,23021,1666,9,1416,51
672,18381,990,16,273,128
673,19308,28,200,422,82
674,18402,575,56,191,151
675,22490,1549,21,1462,38
676,18389,1307,5,1456,2
677,19716,1007,16,90,180
678,18291,355,96,5,203
679,20652,1116,131,1160,118
680,14736,351,99,449,75
681,15099,151,154,142,157
682,17197,601,42,424,75
683,14771,146,151,888,18
684,19836,548,67,774,33
685,17367,206,138,136,155
686,15608,317,110,427,86
687,14273,271,112,674,37
688,14669,113,162,81,178
689,20429,520,61,1182,8
690,19260,123,167,120,172
691,17076,288,107,261,118
692,23637,858,201,839,206
693,16991,964,16,184,140
694,22465,810,210,1360,66
695,21513,1172,114,1044,152
696,15354,80,175,332,103
697,18470,136,163,357,93
698,20210,700,41,861,27
699,23822,1633,15,968,170
700,18314,193,150,150,160
701,14993,1206,4,337,100
702,14431,225,129,595,48
703,20176,229,132,317,105
704,15361,375,93,154,152
705,22971,1637,12,1463,39
706,15503,552,57,305,116
707,15005,449,75,778,29
708,17300,115,161,45,185
709,21698,1201,107,1184,111
710,19729,503,71,932,19
711,20824,1584,10,1473,33
712,17866,17,198,3,206
713,20855,1431,44,1306,79
714,22623,1106,130,1256,93
715,17609,241,121,96,176
716,17243,61,178,308,104
717,22714,1600,15,1511,27
718,22346,1066,146,1176,112
719,20794,1000,162,1032,155
720,22778,1742,3,1641,8
721,21031,1518,20,1112,131
722,15470,634,39,901,20
723,16074,462,77,137,162
724,20063,476,73,543,63
725,20840,1372,60,1538,18
726,19721,512,70,228,135
727,21067,1119,128,1061,149
728,15988,322,109,257,125
729,16717,151,143,152,142
730,14734,445,77,297,113
731,23605,1136,124,899,191
732,23401,1397,60,1262,89
733,20346,262,121,228,133
734,20438,2124,5,1816,41
735,21947,1055,147,915,186
736,19055,85,182,266,126
737,18591,322,107,253,138
738,17413,328,100,487,69
739,18336,539,66,337,103
740,20348,239,131,194,142
741,17693,120,162,151,146
742,17911,266,118,467,73
743,20738,1139,124,923,186
744,15507,610,44,490,69
745,15521,324,107,470,75
746,14556,72,183,280,110
747,20256,250,124,611,48
748,16529,171,148,581,55
749,19635,261,121,122,164
750,18732,802,31,978,13
751,14471,279,115,75,178
752,19967,305,107,391,91
753,19486,838,27,317,109
754,22517,1240,98,963,174
755,15931,598,48,231,131
756,15049,371,91,718,35
757,20558,1080,141,1268,90
758,18458,56,191,185,153
759,22467,1610,13,1362,65
760,23329,1269,85,1190,103
761,22131,1456,43,1389,57
762,17507,355,96,136,153
763,15037,358,95,383,87
764,14551,863,21,1043,8
765,17644,319,101,234,121
766,17617,552,59,313,104
767,19631,540,66,407,85
768,22844,1450,43,1637,12
769,14385,166,144,319,102
770,16603,298,107,490,73
771,21853,1483,34,1602,12
772,23871,1421,55,1173,107
773,20062,52,189,351,101
